,portfolio,date
114,11568.879438176946,2017-06-16
115,11672.210852308575,2017-06-19
116,11604.933890150556,2017-06-20
117,11393.091197753609,2017-06-21
118,11418.507918516003,2017-06-22
119,11460.769753552237,2017-06-23
120,11452.421256510826,2017-06-26
121,11376.583333261475,2017-06-27
122,11594.436834101863,2017-06-28
123,11473.69766518305,2017-06-29
124,11600.050031412255,2017-06-30
125,11554.138853040018,2017-07-03
126,11613.02084900025,2017-07-05
127,11505.688562755293,2017-07-06
128,11576.649744621369,2017-07-07
129,11660.127112795282,2017-07-10
130,11698.756844115369,2017-07-11
131,11761.082191047512,2017-07-12
132,11778.986042169641,2017-07-13
133,11834.293973222424,2017-07-14
134,11849.6438482002,2017-07-17
135,11794.238463683474,2017-07-18
136,11874.901864454136,2017-07-19
137,11822.425184668351,2017-07-20
138,11773.853921292679,2017-07-21
139,11929.313030915488,2017-07-24
140,12375.546698779684,2017-07-25
141,12330.990998984043,2017-07-26
142,12296.368493842,2017-07-27
143,12248.274134140525,2017-07-28
144,12217.593024844591,2017-07-31
145,12208.180846846548,2017-08-01
146,12419.101029621004,2017-08-02
147,12402.526308133994,2017-08-03
148,12473.891722387169,2017-08-04
149,12571.746853848323,2017-08-07
150,12585.661871808305,2017-08-08
151,12609.421270617437,2017-08-09
152,12368.851675790333,2017-08-10
153,12418.359306372911,2017-08-11
154,12553.144824578034,2017-08-14
155,12603.563953955627,2017-08-15
156,12619.620852880464,2017-08-16
157,12455.93477005244,2017-08-17
158,12494.2289482761,2017-08-18
159,12468.964817779579,2017-08-21
160,12694.443838311097,2017-08-22
161,12627.859483114093,2017-08-23
162,12614.529608646026,2017-08-24
163,12669.094050778045,2017-08-25
164,12694.853552249475,2017-08-28
165,12800.03217172307,2017-08-29
166,12918.094276704398,2017-08-30
167,12933.47628467319,2017-08-31
168,12989.734421556217,2017-09-01
169,12935.903304529318,2017-09-05
170,12840.763365270257,2017-09-06
171,12878.438405652649,2017-09-07
172,12807.522845932006,2017-09-08
173,12962.085484417023,2017-09-11
174,13082.713468621007,2017-09-12
175,12957.005184972102,2017-09-13
176,12975.683480904232,2017-09-14
177,13079.270105002952,2017-09-15
178,13209.986056915577,2017-09-18
179,13270.088773542164,2017-09-19
180,13198.1804753896,2017-09-20
181,13113.220597321153,2017-09-21
182,13043.75810152719,2017-09-22
183,12994.036829935136,2017-09-25
184,13088.833344534758,2017-09-26
185,13125.348966250873,2017-09-27
186,13140.764071651252,2017-09-28
187,13134.711228480845,2017-09-29
188,13124.33532297495,2017-10-02
189,13196.274971978039,2017-10-03
190,13236.690636870273,2017-10-04
191,13284.254229101649,2017-10-05
192,13314.03133133866,2017-10-06
193,13329.810359293313,2017-10-09
194,13410.559135667369,2017-10-10
195,13457.008788526993,2017-10-11
196,13523.409115223469,2017-10-12
197,13597.184977825478,2017-10-13
198,13735.051675567564,2017-10-16
199,13691.57055865777,2017-10-17
200,13717.57262007886,2017-10-18
201,13619.298771282512,2017-10-19
202,13672.778224752945,2017-10-20
203,13688.17217121489,2017-10-23
204,14136.225772712636,2017-10-24
205,14025.10208150689,2017-10-25
206,14079.767528540204,2017-10-26
207,14305.650912699333,2017-10-27
208,14347.749945323401,2017-10-30
209,14386.901751468296,2017-10-31
210,14351.245070474435,2017-11-01
211,14416.707202652764,2017-11-02
212,14541.135534231584,2017-11-03
213,14661.12827100543,2017-11-06
214,14749.705674486622,2017-11-07
215,14712.257889214905,2017-11-08
216,14592.836230459432,2017-11-09
217,14613.378487854463,2017-11-10
218,14603.890746854848,2017-11-13
219,14571.572206284081,2017-11-14
220,14334.61351379704,2017-11-15
221,14524.174930674688,2017-11-16
222,14472.575914411045,2017-11-17
223,14528.829356420734,2017-11-20
224,14678.424651878335,2017-11-21
225,14744.204625309361,2017-11-22
226,14715.767823704893,2017-11-24
227,14679.569116918352,2017-11-27
228,14760.370236262755,2017-11-28
229,14592.153534903877,2017-11-29
230,14855.531352170317,2017-11-30
231,14847.988445267722,2017-12-01
232,14815.286217268047,2017-12-04
233,14728.413446647648,2017-12-05
234,14727.835382495226,2017-12-06
235,14893.078660227011,2017-12-07
236,14956.164718442089,2017-12-08
237,15037.349159021736,2017-12-11
238,15000.034775861981,2017-12-12
239,15320.249001200033,2017-12-13
240,15170.250810455333,2017-12-14
241,15259.835772273413,2017-12-15
242,15521.648264145151,2017-12-18
243,15534.598790462418,2017-12-19
244,15617.646622381291,2017-12-20
245,15746.196166754593,2017-12-21
246,15811.115714544076,2017-12-22
247,15752.58996228666,2017-12-26
248,15828.568024514014,2017-12-27
249,15904.602971561704,2017-12-28
250,15806.88756183467,2017-12-29
251,15832.62029709841,2018-01-02
252,15872.669988482385,2018-01-03
253,16054.337816641202,2018-01-04
254,16259.815013110065,2018-01-05
255,16445.90816367551,2018-01-08
256,16485.317895459415,2018-01-09
257,16488.954158657845,2018-01-10
258,16667.358341068477,2018-01-11
259,16781.712887801972,2018-01-12
260,16678.97887608608,2018-01-16
261,16720.54826582053,2018-01-17
262,16707.58749645336,2018-01-18
263,16734.208515767095,2018-01-19
264,16761.853772251325,2018-01-22
265,16689.45018065725,2018-01-23
266,16658.750262038015,2018-01-24
267,16677.319192496412,2018-01-25
268,16590.022740096207,2018-01-26
269,16330.211445777148,2018-01-29
270,16320.088708279894,2018-01-30
271,16286.985722006979,2018-01-31
272,16300.19895175188,2018-02-01
273,15793.118868810234,2018-02-02
274,15121.454390461733,2018-02-05
275,15608.146387206214,2018-02-06
276,15455.899636138047,2018-02-07
277,14696.682328869343,2018-02-08
278,15040.085400614224,2018-02-09
279,15411.431887097788,2018-02-12
280,15524.742875770384,2018-02-13
281,15849.7828285117,2018-02-14
282,16070.916143838356,2018-02-15
283,15882.911529109868,2018-02-16
284,15825.586719867642,2018-02-20
285,15770.316962630368,2018-02-21
286,16001.536250567287,2018-02-22
287,16319.60421145403,2018-02-23
288,16526.576389616108,2018-02-26
289,16344.079470889943,2018-02-27
290,15970.718423875298,2018-02-28
291,15675.000636183264,2018-03-01
292,15519.881572284045,2018-03-02
293,15800.85942602914,2018-03-05
294,15935.730663652554,2018-03-06
295,15787.015060162406,2018-03-07
296,15902.174439504059,2018-03-08
297,16275.56291851694,2018-03-09
298,16184.937556509874,2018-03-12
299,16075.711963450514,2018-03-13
300,15960.061863899926,2018-03-14
301,16030.833134876646,2018-03-15
302,16055.934989680303,2018-03-16
303,15768.6730530708,2018-03-19
304,15851.087209664749,2018-03-20
305,15854.033200616826,2018-03-21
306,15355.55922048337,2018-03-22
307,15098.16009765437,2018-03-23
308,15614.430645979972,2018-03-26
309,15351.606659871277,2018-03-27
310,15153.074326633534,2018-03-28
311,15348.769606016198,2018-03-29
312,15120.858425171278,2018-04-02
313,15297.903325980513,2018-04-03
314,15428.748467269543,2018-04-04
315,15656.21767782558,2018-04-05
316,15245.635836601949,2018-04-06
317,15334.815380380489,2018-04-09
318,15697.503168386575,2018-04-10
319,15633.6549387426,2018-04-11
320,15771.323311087051,2018-04-12
321,15813.033580966103,2018-04-13
322,15922.896683510877,2018-04-16
323,16094.018794560205,2018-04-17
324,16210.343182531202,2018-04-18
325,16019.465637634661,2018-04-19
