,portfolio,date
323,14556.645063375523,2018-04-17
324,14612.977773142078,2018-04-18
325,14491.44740492323,2018-04-19
326,14198.763058214143,2018-04-20
327,14208.408121555003,2018-04-23
328,13878.833079404958,2018-04-24
329,14108.20371993153,2018-04-25
330,14181.604246573947,2018-04-26
331,14120.861414729918,2018-04-27
332,14049.83321345129,2018-04-30
333,14031.029182833221,2018-05-01
334,14097.437562105142,2018-05-02
335,14159.714810312438,2018-05-03
336,14426.760170158304,2018-05-04
337,14497.754216310457,2018-05-07
338,14550.570968666123,2018-05-08
339,14699.677765236107,2018-05-09
340,14813.064520712333,2018-05-10
341,14886.61309163289,2018-05-11
342,14944.695749698481,2018-05-14
343,14756.793909420001,2018-05-15
344,14827.008787488927,2018-05-16
345,14846.518512330003,2018-05-17
346,14924.61635022281,2018-05-18
347,15118.126299815405,2018-05-21
348,15072.805062268402,2018-05-22
349,15185.271459201727,2018-05-23
350,15119.359533320538,2018-05-24
351,15141.308886360974,2018-05-25
352,14971.967240549242,2018-05-29
353,15133.715509615855,2018-05-30
354,15017.241929804653,2018-05-31
355,15261.918090853815,2018-06-01
356,15412.453911391834,2018-06-04
357,15330.940716477175,2018-06-05
358,15581.705829181248,2018-06-06
359,15523.60776609291,2018-06-07
360,15527.850356433162,2018-06-08
361,15548.784840289836,2018-06-11
362,15576.548265645954,2018-06-12
363,15435.341394214578,2018-06-13
364,15500.607095166877,2018-06-14
365,15395.420073754987,2018-06-15
366,15324.58152310184,2018-06-18
367,15157.044013817216,2018-06-19
368,15175.091253255345,2018-06-20
369,15075.099494960577,2018-06-21
370,15065.808271615306,2018-06-22
371,14956.401735912688,2018-06-25
372,14992.256569749186,2018-06-26
373,14897.599875890883,2018-06-27
374,14963.289715067083,2018-06-28
375,15036.825110107206,2018-06-29
376,15158.51735375803,2018-07-02
377,15039.779077524043,2018-07-03
378,15181.777104528903,2018-07-05
379,15354.023981284712,2018-07-06
380,15598.547700464922,2018-07-09
381,15638.57215964068,2018-07-10
382,15526.427110802948,2018-07-11
383,15687.438401653264,2018-07-12
384,15719.474397374586,2018-07-13
385,15696.180921348929,2018-07-16
386,15710.20419417215,2018-07-17
387,15750.07795293917,2018-07-18
388,15628.338573683872,2018-07-19
389,15602.95737221461,2018-07-20
390,15647.785859716345,2018-07-23
391,15742.51032826824,2018-07-24
392,15877.465787387819,2018-07-25
393,15869.875768530961,2018-07-26
394,15790.460022779806,2018-07-27
395,15594.084956633025,2018-07-30
396,15692.428926549685,2018-07-31
397,15957.391622360994,2018-08-01
398,16138.069967164729,2018-08-02
399,16239.424455939086,2018-08-03
400,16278.119078825152,2018-08-06
401,16348.469164515562,2018-08-07
402,16282.722655327161,2018-08-08
403,16269.86831648132,2018-08-09
404,16168.986615938882,2018-08-10
405,16228.551064898158,2018-08-13
406,16276.936800214746,2018-08-14
407,16216.747233563792,2018-08-15
408,16451.66646100769,2018-08-16
409,16611.962515716983,2018-08-17
410,16617.371570330844,2018-08-20
411,16663.61717675164,2018-08-21
412,16735.125438757055,2018-08-22
413,16697.56771314907,2018-08-23
414,16748.192154010114,2018-08-24
415,16923.51379147065,2018-08-27
416,16983.519717574556,2018-08-28
417,17042.100325181626,2018-08-29
418,17054.925227586315,2018-08-30
419,17094.67189633126,2018-08-31
420,17145.1038546291,2018-09-04
421,17021.80422521272,2018-09-05
422,16899.05946176617,2018-09-06
423,16908.269670167105,2018-09-07
424,16970.26821875816,2018-09-10
425,17175.361657845788,2018-09-11
426,17148.595943570323,2018-09-12
427,17361.961447915048,2018-09-13
428,17364.054575993614,2018-09-14
429,17175.974406830497,2018-09-17
430,17240.580615546514,2018-09-18
431,17273.4394100913,2018-09-19
432,17427.13341697361,2018-09-20
433,17372.19657386714,2018-09-21
434,17408.942076909505,2018-09-24
435,17429.216904586,2018-09-25
436,17272.49795297642,2018-09-26
437,17405.810702996434,2018-09-27
438,17295.430801947336,2018-09-28
439,17416.18291898961,2018-10-01
440,17515.40136035341,2018-10-02
441,17575.216034979836,2018-10-03
442,17415.441901763257,2018-10-04
443,17305.64183266721,2018-10-05
444,17304.62683808207,2018-10-08
445,17323.053047078298,2018-10-09
446,16750.236060577772,2018-10-10
447,16437.765016858066,2018-10-11
448,16745.812542060736,2018-10-12
449,16584.003740687782,2018-10-15
450,16939.088011849883,2018-10-16
451,16938.27799162367,2018-10-17
452,16631.975851439434,2018-10-18
453,16904.247720377905,2018-10-19
454,16722.143653740968,2018-10-22
455,16590.41211681651,2018-10-23
456,16072.191504653376,2018-10-24
457,16381.756778361669,2018-10-25
458,16071.668290704496,2018-10-26
459,16005.53655175356,2018-10-29
460,16187.134150014836,2018-10-30
461,16407.211528552623,2018-10-31
462,16604.179433558784,2018-11-01
463,16347.112498898729,2018-11-02
464,16396.687370008956,2018-11-05
465,16461.333645021212,2018-11-06
466,16888.591911128537,2018-11-07
467,16906.307768483824,2018-11-08
468,16712.668880931997,2018-11-09
469,16169.116208382182,2018-11-12
470,16164.619484862207,2018-11-13
471,16005.515971879537,2018-11-14
472,16297.403198718801,2018-11-15
473,16357.55650630491,2018-11-16
