,portfolio,date
307,17995.995686324983,2018-03-23
308,18564.68486694751,2018-03-26
309,18116.978925224365,2018-03-27
310,18005.25218783331,2018-03-28
311,18351.68501237599,2018-03-29
312,18097.166134821786,2018-04-02
313,18469.979096327792,2018-04-03
314,18449.156426569098,2018-04-04
315,18835.069490372232,2018-04-05
316,18290.953140586767,2018-04-06
317,18209.665169893346,2018-04-09
318,18793.53272960113,2018-04-10
319,18481.19122097987,2018-04-11
320,18926.054012858316,2018-04-12
321,18632.75321747636,2018-04-13
322,18765.381220723706,2018-04-16
323,19037.000550475605,2018-04-17
324,19190.422865585577,2018-04-18
325,19030.390428660758,2018-04-19
326,18734.987080861538,2018-04-20
327,18737.758386488556,2018-04-23
328,18284.021828774446,2018-04-24
329,18842.85160245621,2018-04-25
330,18859.81347694811,2018-04-26
331,18722.17390295972,2018-04-27
332,18537.42112822828,2018-04-30
333,18510.89019245482,2018-05-01
334,18555.02413290409,2018-05-02
335,18817.752081621016,2018-05-03
336,19196.39088919239,2018-05-04
337,19473.747407165592,2018-05-07
338,19423.60141874318,2018-05-08
339,19705.297627616616,2018-05-09
340,19845.71477965401,2018-05-10
341,19762.188188867993,2018-05-11
342,19837.12587279814,2018-05-14
343,19675.241042067446,2018-05-15
344,19693.029310276972,2018-05-16
345,19774.00325220786,2018-05-17
346,19999.155379563068,2018-05-18
347,20498.797394096924,2018-05-21
348,20237.06942911665,2018-05-22
349,20388.63973207723,2018-05-23
350,20348.756936588125,2018-05-24
351,20362.565413961933,2018-05-25
352,20013.360325880196,2018-05-29
353,20255.986732518246,2018-05-30
354,20020.256085113884,2018-05-31
355,20290.002395297495,2018-06-01
356,20494.536896535697,2018-06-04
357,20464.556791986517,2018-06-05
358,20919.561659989555,2018-06-06
359,20820.241259125756,2018-06-07
360,20816.420718527952,2018-06-08
361,20863.821797545785,2018-06-11
362,20886.270837109343,2018-06-12
363,20672.29051150222,2018-06-13
364,20690.23771541673,2018-06-14
365,20559.077409971276,2018-06-15
366,20500.402193147645,2018-06-18
367,20326.187884136707,2018-06-19
368,20319.29436389272,2018-06-20
369,20182.523717000164,2018-06-21
370,20194.390332747185,2018-06-22
