,portfolio,date
149,12223.223786592696,2017-08-07
150,12203.576484215208,2017-08-08
151,12147.79623698965,2017-08-09
152,11953.948565901374,2017-08-10
153,11977.798513894877,2017-08-11
154,12068.498278222709,2017-08-14
155,12061.979847482027,2017-08-15
156,12114.914004257627,2017-08-16
157,11947.958119696277,2017-08-17
158,11941.629614372516,2017-08-18
159,11936.144873948042,2017-08-21
160,12097.737815326094,2017-08-22
161,12033.367401827045,2017-08-23
162,12052.641680312292,2017-08-24
163,12073.495078405878,2017-08-25
164,12109.01068416538,2017-08-28
165,12151.776098382326,2017-08-29
166,12199.060037479929,2017-08-30
167,12229.830568189343,2017-08-31
168,12271.793026363213,2017-09-01
169,12163.203645926644,2017-09-05
170,12150.269740588436,2017-09-06
171,12124.192726701074,2017-09-07
172,12091.529582476673,2017-09-08
173,12253.498766371848,2017-09-11
174,12333.243180002875,2017-09-12
175,12322.078363189949,2017-09-13
176,12345.110427557409,2017-09-14
177,12416.356890002451,2017-09-15
178,12448.851706779493,2017-09-18
179,12468.69131611591,2017-09-19
180,12469.201728744525,2017-09-20
181,12417.231358425304,2017-09-21
182,12412.250761699133,2017-09-22
183,12392.229337421395,2017-09-25
184,12424.713047596959,2017-09-26
185,12454.180025272428,2017-09-27
186,12431.860904785086,2017-09-28
187,12453.834450157903,2017-09-29
188,12510.221297329936,2017-10-02
189,12579.956548686574,2017-10-03
190,12561.828246808307,2017-10-04
191,12606.935299609137,2017-10-05
192,12613.045392124102,2017-10-06
193,12608.399202626795,2017-10-09
194,12618.864978349038,2017-10-10
195,12624.645784444496,2017-10-11
196,12562.795285846725,2017-10-12
197,12572.949218665337,2017-10-13
198,12628.284613478028,2017-10-16
199,12675.468200244206,2017-10-17
200,12676.576924430352,2017-10-18
201,12610.687712882784,2017-10-19
202,12717.766292409086,2017-10-20
203,12656.113763056243,2017-10-23
204,12770.749879615352,2017-10-24
205,12634.4543392856,2017-10-25
206,12678.714138058325,2017-10-26
207,12766.070362995875,2017-10-27
208,12804.833076811712,2017-10-30
209,12866.96240015639,2017-10-31
210,12846.578824947193,2017-11-01
211,12871.594142234668,2017-11-02
212,12919.816288039247,2017-11-03
213,12924.369581745203,2017-11-06
214,12955.61686951754,2017-11-07
215,12991.143721754555,2017-11-08
216,12930.906555997199,2017-11-09
217,12942.529117733788,2017-11-10
218,12936.373267557965,2017-11-13
219,12903.542235188963,2017-11-14
220,12773.753304733185,2017-11-15
221,12885.584330559752,2017-11-16
222,12862.924235291839,2017-11-17
223,12876.934373112894,2017-11-20
224,12995.265384924236,2017-11-21
225,13008.881978513644,2017-11-22
226,13010.55221265252,2017-11-24
227,12979.38186620987,2017-11-27
228,13024.59064704033,2017-11-28
229,12932.3274525062,2017-11-29
230,13076.691632777012,2017-11-30
231,13060.437663891202,2017-12-01
232,12989.165938217084,2017-12-04
233,12971.500152575294,2017-12-05
234,13009.410296202164,2017-12-06
235,13079.18732730152,2017-12-07
236,13084.078748788617,2017-12-08
237,13197.988788715558,2017-12-11
238,13131.365876330006,2017-12-12
239,13219.348478032452,2017-12-13
240,13176.29577422887,2017-12-14
241,13278.945389856042,2017-12-15
242,13345.102317963758,2017-12-18
243,13306.446882638735,2017-12-19
244,13311.814404328472,2017-12-20
245,13365.704149213369,2017-12-21
246,13332.86555815961,2017-12-22
247,13261.293039061515,2017-12-26
248,13276.26797330337,2017-12-27
249,13302.130189486796,2017-12-28
250,13221.965378641147,2017-12-29
251,13428.346278216044,2018-01-02
252,13483.598800250453,2018-01-03
253,13585.629668318928,2018-01-04
254,13739.263623655992,2018-01-05
255,13782.882340166867,2018-01-08
256,13805.122614536574,2018-01-09
257,13805.500817193493,2018-01-10
258,13850.462641683329,2018-01-11
259,13978.292209012845,2018-01-12
260,13893.285357225463,2018-01-16
261,14102.003975037745,2018-01-17
262,14081.518392782677,2018-01-18
263,14110.007446933563,2018-01-19
264,14152.060157010794,2018-01-22
265,14074.00473835735,2018-01-23
266,14008.052001872325,2018-01-24
267,13952.157268458193,2018-01-25
268,14025.66308147858,2018-01-26
269,13871.648543373374,2018-01-29
270,13699.867418977188,2018-01-30
271,13649.663602265302,2018-01-31
272,13668.662112312988,2018-02-01
273,13320.568935213245,2018-02-02
274,12844.236880304526,2018-02-05
275,13161.58975948943,2018-02-06
276,13098.178805826205,2018-02-07
277,12699.477055923102,2018-02-08
278,12835.63139204771,2018-02-09
279,13093.920246255253,2018-02-12
280,13167.162856217223,2018-02-13
281,13396.934828964515,2018-02-14
282,13748.584220149973,2018-02-15
283,13741.609798543011,2018-02-16
284,13713.872374490003,2018-02-20
285,13649.770280822037,2018-02-21
286,13675.184422306265,2018-02-22
287,13909.465853281112,2018-02-23
288,14142.989646939614,2018-02-26
289,14052.998711817483,2018-02-27
290,13947.399117183564,2018-02-28
291,13753.46449424489,2018-03-01
292,13849.93166584297,2018-03-02
293,13954.679333661814,2018-03-05
294,13999.03704943402,2018-03-06
295,13885.624740900674,2018-03-07
296,13996.859287713858,2018-03-08
297,14241.314891334874,2018-03-09
298,14250.787114846216,2018-03-12
299,14126.996679670821,2018-03-13
300,14035.303808532857,2018-03-14
301,14047.160002621327,2018-03-15
302,14043.992362718112,2018-03-16
303,13863.173015989667,2018-03-19
304,13885.639601726782,2018-03-20
305,13694.408974783073,2018-03-21
306,13368.300521603775,2018-03-22
307,13120.987579615961,2018-03-23
308,13643.335918803572,2018-03-26
309,13313.035340885266,2018-03-27
310,13188.576788049191,2018-03-28
311,13322.306449502152,2018-03-29
312,13140.335329196707,2018-04-02
313,13293.808396966873,2018-04-03
314,13539.428681815321,2018-04-04
315,13596.590201353432,2018-04-05
316,13259.366420672433,2018-04-06
317,13375.3088601146,2018-04-09
318,13624.827056257489,2018-04-10
319,13546.461410429782,2018-04-11
320,13645.004584578488,2018-04-12
321,13670.78156926024,2018-04-13
322,13729.046776718029,2018-04-16
323,13940.297139929893,2018-04-17
324,13948.07575021994,2018-04-18
325,13757.34992324754,2018-04-19
326,13390.625737894658,2018-04-20
327,13392.373566680764,2018-04-23
328,13200.611724460576,2018-04-24
329,13222.289457666986,2018-04-25
330,13298.073119417671,2018-04-26
331,13240.639815101273,2018-04-27
332,13289.683902006691,2018-04-30
333,13359.9888370236,2018-05-01
334,13654.641400171377,2018-05-02
335,13614.188029136643,2018-05-03
336,13989.70579898464,2018-05-04
337,14068.013853764494,2018-05-07
338,14129.472604688868,2018-05-08
339,14230.083379299156,2018-05-09
340,14390.28275810379,2018-05-10
341,14374.252231884402,2018-05-11
342,14368.962018584594,2018-05-14
343,14242.398626231345,2018-05-15
344,14317.83061597452,2018-05-16
345,14277.60329803978,2018-05-17
346,14291.374915290951,2018-05-18
347,14467.005591239491,2018-05-21
348,14390.234481310912,2018-05-22
349,14484.625785710638,2018-05-23
350,14455.957039611763,2018-05-24
351,14448.79492714212,2018-05-25
352,14322.417894002005,2018-05-29
353,14356.261592978877,2018-05-30
354,14273.091439346701,2018-05-31
355,14475.457236301936,2018-06-01
356,14605.547201882206,2018-06-04
357,14659.576838874964,2018-06-05
358,14778.791503845985,2018-06-06
359,14745.790789573635,2018-06-07
360,14658.037144825243,2018-06-08
361,14647.983335603481,2018-06-11
362,14694.196940342246,2018-06-12
363,14547.816168416965,2018-06-13
364,14555.798762546096,2018-06-14
365,14404.775453583814,2018-06-15
366,14354.46798546589,2018-06-18
367,14076.153708641943,2018-06-19
368,14112.894346530718,2018-06-20
369,13993.653471948817,2018-06-21
370,13982.122655903373,2018-06-22
371,13793.2898273338,2018-06-25
372,13890.593225945619,2018-06-26
373,13851.31159631395,2018-06-27
374,13957.683351531708,2018-06-28
375,13957.179452433074,2018-06-29
376,14079.597642992943,2018-07-02
377,13899.428339713131,2018-07-03
378,13998.514234366461,2018-07-05
379,14179.006480712038,2018-07-06
380,14384.563344003787,2018-07-09
381,14400.230296949772,2018-07-10
